"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"02/07/2023 21:45:00 - 02/07/2023 22:00:00","BZN|DE-LU","Sequence Sequence 1","36.72","",""
"02/07/2023 22:00:00 - 02/07/2023 22:15:00","BZN|DE-LU","Sequence Sequence 1","48.57","",""
"02/07/2023 22:15:00 - 02/07/2023 22:30:00","BZN|DE-LU","Sequence Sequence 1","49.11","",""
"02/07/2023 22:30:00 - 02/07/2023 22:45:00","BZN|DE-LU","Sequence Sequence 1","45.35","",""
"02/07/2023 22:45:00 - 02/07/2023 23:00:00","BZN|DE-LU","Sequence Sequence 1","50.10","",""
"02/07/2023 23:00:00 - 02/07/2023 23:15:00","BZN|DE-LU","Sequence Sequence 1","51.70","",""
"02/07/2023 23:15:00 - 02/07/2023 23:30:00","BZN|DE-LU","Sequence Sequence 1","53.29","",""
"02/07/2023 23:30:00 - 02/07/2023 23:45:00","BZN|DE-LU","Sequence Sequence 1","55.36","",""
"02/07/2023 23:45:00 - 03/07/2023 00:00:00","BZN|DE-LU","Sequence Sequence 1","51.58","",""
"03/07/2023 00:00:00 - 03/07/2023 00:15:00","BZN|DE-LU","Sequence Sequence 1","56.98","",""
"03/07/2023 00:15:00 - 03/07/2023 00:30:00","BZN|DE-LU","Sequence Sequence 1","56.52","",""
"03/07/2023 00:30:00 - 03/07/2023 00:45:00","BZN|DE-LU","Sequence Sequence 1","63.86","",""
"03/07/2023 00:45:00 - 03/07/2023 01:00:00","BZN|DE-LU","Sequence Sequence 1","58.68","",""
"03/07/2023 01:00:00 - 03/07/2023 01:15:00","BZN|DE-LU","Sequence Sequence 1","67.13","",""
"03/07/2023 01:15:00 - 03/07/2023 01:30:00","BZN|DE-LU","Sequence Sequence 1","65.28","",""
"03/07/2023 01:30:00 - 03/07/2023 01:45:00","BZN|DE-LU","Sequence Sequence 1","69.40","",""
"03/07/2023 01:45:00 - 03/07/2023 02:00:00","BZN|DE-LU","Sequence Sequence 1","65.94","",""
"03/07/2023 02:00:00 - 03/07/2023 02:15:00","BZN|DE-LU","Sequence Sequence 1","73.76","",""
"03/07/2023 02:15:00 - 03/07/2023 02:30:00","BZN|DE-LU","Sequence Sequence 1","75.34","",""
"03/07/2023 02:30:00 - 03/07/2023 02:45:00","BZN|DE-LU","Sequence Sequence 1","72.61","",""
"03/07/2023 02:45:00 - 03/07/2023 03:00:00","BZN|DE-LU","Sequence Sequence 1","74.38","",""
"03/07/2023 03:00:00 - 03/07/2023 03:15:00","BZN|DE-LU","Sequence Sequence 1","83.76","",""
"03/07/2023 03:15:00 - 03/07/2023 03:30:00","BZN|DE-LU","Sequence Sequence 1","81.81","",""
"03/07/2023 03:30:00 - 03/07/2023 03:45:00","BZN|DE-LU","Sequence Sequence 1","81.22","",""
"03/07/2023 03:45:00 - 03/07/2023 04:00:00","BZN|DE-LU","Sequence Sequence 1","81.38","",""
"03/07/2023 04:00:00 - 03/07/2023 04:15:00","BZN|DE-LU","Sequence Sequence 1","84.94","",""
"03/07/2023 04:15:00 - 03/07/2023 04:30:00","BZN|DE-LU","Sequence Sequence 1","89.71","",""
"03/07/2023 04:30:00 - 03/07/2023 04:45:00","BZN|DE-LU","Sequence Sequence 1","84.10","",""
"03/07/2023 04:45:00 - 03/07/2023 05:00:00","BZN|DE-LU","Sequence Sequence 1","86.14","",""
"03/07/2023 05:00:00 - 03/07/2023 05:15:00","BZN|DE-LU","Sequence Sequence 1","88.95","",""
"03/07/2023 05:15:00 - 03/07/2023 05:30:00","BZN|DE-LU","Sequence Sequence 1","90.74","",""
"03/07/2023 05:30:00 - 03/07/2023 05:45:00","BZN|DE-LU","Sequence Sequence 1","90.93","",""
"03/07/2023 05:45:00 - 03/07/2023 06:00:00","BZN|DE-LU","Sequence Sequence 1","88.66","",""
"03/07/2023 06:00:00 - 03/07/2023 06:15:00","BZN|DE-LU","Sequence Sequence 1","90.32","",""
"03/07/2023 06:15:00 - 03/07/2023 06:30:00","BZN|DE-LU","Sequence Sequence 1","90.40","",""
"03/07/2023 06:30:00 - 03/07/2023 06:45:00","BZN|DE-LU","Sequence Sequence 1","85.20","",""
"03/07/2023 06:45:00 - 03/07/2023 07:00:00","BZN|DE-LU","Sequence Sequence 1","86.56","",""
"03/07/2023 07:00:00 - 03/07/2023 07:15:00","BZN|DE-LU","Sequence Sequence 1","87.51","",""
"03/07/2023 07:15:00 - 03/07/2023 07:30:00","BZN|DE-LU","Sequence Sequence 1","87.60","",""
"03/07/2023 07:30:00 - 03/07/2023 07:45:00","BZN|DE-LU","Sequence Sequence 1","86.32","",""
"03/07/2023 07:45:00 - 03/07/2023 08:00:00","BZN|DE-LU","Sequence Sequence 1","90.22","",""
"03/07/2023 08:00:00 - 03/07/2023 08:15:00","BZN|DE-LU","Sequence Sequence 1","85.73","",""
"03/07/2023 08:15:00 - 03/07/2023 08:30:00","BZN|DE-LU","Sequence Sequence 1","85.29","",""
"03/07/2023 08:30:00 - 03/07/2023 08:45:00","BZN|DE-LU","Sequence Sequence 1","83.21","",""
"03/07/2023 08:45:00 - 03/07/2023 09:00:00","BZN|DE-LU","Sequence Sequence 1","85.63","",""
"03/07/2023 09:00:00 - 03/07/2023 09:15:00","BZN|DE-LU","Sequence Sequence 1","75.70","",""
"03/07/2023 09:15:00 - 03/07/2023 09:30:00","BZN|DE-LU","Sequence Sequence 1","80.63","",""
"03/07/2023 09:30:00 - 03/07/2023 09:45:00","BZN|DE-LU","Sequence Sequence 1","81.08","",""
"03/07/2023 09:45:00 - 03/07/2023 10:00:00","BZN|DE-LU","Sequence Sequence 1","81.44","",""
"03/07/2023 10:00:00 - 03/07/2023 10:15:00","BZN|DE-LU","Sequence Sequence 1","71.61","",""
"03/07/2023 10:15:00 - 03/07/2023 10:30:00","BZN|DE-LU","Sequence Sequence 1","75.19","",""
"03/07/2023 10:30:00 - 03/07/2023 10:45:00","BZN|DE-LU","Sequence Sequence 1","72.66","",""
"03/07/2023 10:45:00 - 03/07/2023 11:00:00","BZN|DE-LU","Sequence Sequence 1","73.12","",""
"03/07/2023 11:00:00 - 03/07/2023 11:15:00","BZN|DE-LU","Sequence Sequence 1","68.94","",""
"03/07/2023 11:15:00 - 03/07/2023 11:30:00","BZN|DE-LU","Sequence Sequence 1","71.53","",""
"03/07/2023 11:30:00 - 03/07/2023 11:45:00","BZN|DE-LU","Sequence Sequence 1","67.61","",""
"03/07/2023 11:45:00 - 03/07/2023 12:00:00","BZN|DE-LU","Sequence Sequence 1","65.87","",""
"03/07/2023 12:00:00 - 03/07/2023 12:15:00","BZN|DE-LU","Sequence Sequence 1","60.12","",""
"03/07/2023 12:15:00 - 03/07/2023 12:30:00","BZN|DE-LU","Sequence Sequence 1","61.62","",""
"03/07/2023 12:30:00 - 03/07/2023 12:45:00","BZN|DE-LU","Sequence Sequence 1","60.98","",""
"03/07/2023 12:45:00 - 03/07/2023 13:00:00","BZN|DE-LU","Sequence Sequence 1","65.23","",""
"03/07/2023 13:00:00 - 03/07/2023 13:15:00","BZN|DE-LU","Sequence Sequence 1","50.55","",""
"03/07/2023 13:15:00 - 03/07/2023 13:30:00","BZN|DE-LU","Sequence Sequence 1","52.48","",""
"03/07/2023 13:30:00 - 03/07/2023 13:45:00","BZN|DE-LU","Sequence Sequence 1","55.08","",""
"03/07/2023 13:45:00 - 03/07/2023 14:00:00","BZN|DE-LU","Sequence Sequence 1","54.95","",""
"03/07/2023 14:00:00 - 03/07/2023 14:15:00","BZN|DE-LU","Sequence Sequence 1","40.84","",""
"03/07/2023 14:15:00 - 03/07/2023 14:30:00","BZN|DE-LU","Sequence Sequence 1","44.74","",""
"03/07/2023 14:30:00 - 03/07/2023 14:45:00","BZN|DE-LU","Sequence Sequence 1","47.71","",""
"03/07/2023 14:45:00 - 03/07/2023 15:00:00","BZN|DE-LU","Sequence Sequence 1","50.52","",""
"03/07/2023 15:00:00 - 03/07/2023 15:15:00","BZN|DE-LU","Sequence Sequence 1","39.94","",""
"03/07/2023 15:15:00 - 03/07/2023 15:30:00","BZN|DE-LU","Sequence Sequence 1","37.79","",""
"03/07/2023 15:30:00 - 03/07/2023 15:45:00","BZN|DE-LU","Sequence Sequence 1","36.51","",""
"03/07/2023 15:45:00 - 03/07/2023 16:00:00","BZN|DE-LU","Sequence Sequence 1","42.97","",""
"03/07/2023 16:00:00 - 03/07/2023 16:15:00","BZN|DE-LU","Sequence Sequence 1","35.22","",""
"03/07/2023 16:15:00 - 03/07/2023 16:30:00","BZN|DE-LU","Sequence Sequence 1","32.06","",""
"03/07/2023 16:30:00 - 03/07/2023 16:45:00","BZN|DE-LU","Sequence Sequence 1","33.35","",""
"03/07/2023 16:45:00 - 03/07/2023 17:00:00","BZN|DE-LU","Sequence Sequence 1","34.38","",""
"03/07/2023 17:00:00 - 03/07/2023 17:15:00","BZN|DE-LU","Sequence Sequence 1","31.85","",""
"03/07/2023 17:15:00 - 03/07/2023 17:30:00","BZN|DE-LU","Sequence Sequence 1","28.96","",""
"03/07/2023 17:30:00 - 03/07/2023 17:45:00","BZN|DE-LU","Sequence Sequence 1","29.54","",""
"03/07/2023 17:45:00 - 03/07/2023 18:00:00","BZN|DE-LU","Sequence Sequence 1","27.46","",""
"03/07/2023 18:00:00 - 03/07/2023 18:15:00","BZN|DE-LU","Sequence Sequence 1","31.82","",""
"03/07/2023 18:15:00 - 03/07/2023 18:30:00","BZN|DE-LU","Sequence Sequence 1","29.06","",""
"03/07/2023 18:30:00 - 03/07/2023 18:45:00","BZN|DE-LU","Sequence Sequence 1","30.67","",""
"03/07/2023 18:45:00 - 03/07/2023 19:00:00","BZN|DE-LU","Sequence Sequence 1","32.59","",""
"03/07/2023 19:00:00 - 03/07/2023 19:15:00","BZN|DE-LU","Sequence Sequence 1","31.20","",""
"03/07/2023 19:15:00 - 03/07/2023 19:30:00","BZN|DE-LU","Sequence Sequence 1","30.54","",""
"03/07/2023 19:30:00 - 03/07/2023 19:45:00","BZN|DE-LU","Sequence Sequence 1","31.15","",""
"03/07/2023 19:45:00 - 03/07/2023 20:00:00","BZN|DE-LU","Sequence Sequence 1","30.89","",""
"03/07/2023 20:00:00 - 03/07/2023 20:15:00","BZN|DE-LU","Sequence Sequence 1","36.25","",""
"03/07/2023 20:15:00 - 03/07/2023 20:30:00","BZN|DE-LU","Sequence Sequence 1","34.38","",""
"03/07/2023 20:30:00 - 03/07/2023 20:45:00","BZN|DE-LU","Sequence Sequence 1","32.67","",""
"03/07/2023 20:45:00 - 03/07/2023 21:00:00","BZN|DE-LU","Sequence Sequence 1","35.86","",""
"03/07/2023 21:00:00 - 03/07/2023 21:15:00","BZN|DE-LU","Sequence Sequence 1","40.99","",""
"03/07/2023 21:15:00 - 03/07/2023 21:30:00","BZN|DE-LU","Sequence Sequence 1","35.85","",""
"03/07/2023 21:30:00 - 03/07/2023 21:45:00","BZN|DE-LU","Sequence Sequence 1","41.59","",""
"03/07/2023 21:45:00 - 03/07/2023 22:00:00","BZN|DE-LU","Sequence Sequence 1","39.26","",""
"03/07/2023 22:00:00 - 03/07/2023 22:15:00","BZN|DE-LU","Sequence Sequence 1","45.31","",""
"03/07/2023 22:15:00 - 03/07/2023 22:30:00","BZN|DE-LU","Sequence Sequence 1","46.76","",""
"03/07/2023 22:30:00 - 03/07/2023 22:45:00","BZN|DE-LU","Sequence Sequence 1","43.61","",""
"03/07/2023 22:45:00 - 03/07/2023 23:00:00","BZN|DE-LU","Sequence Sequence 1","46.65","",""
"03/07/2023 23:00:00 - 03/07/2023 23:15:00","BZN|DE-LU","Sequence Sequence 1","51.22","",""
"03/07/2023 23:15:00 - 03/07/2023 23:30:00","BZN|DE-LU","Sequence Sequence 1","49.03","",""
"03/07/2023 23:30:00 - 03/07/2023 23:45:00","BZN|DE-LU","Sequence Sequence 1","49.98","",""
"03/07/2023 23:45:00 - 04/07/2023 00:00:00","BZN|DE-LU","Sequence Sequence 1","53.11","",""
"04/07/2023 00:00:00 - 04/07/2023 00:15:00","BZN|DE-LU","Sequence Sequence 1","57.33","",""
"04/07/2023 00:15:00 - 04/07/2023 00:30:00","BZN|DE-LU","Sequence Sequence 1","62.45","",""
"04/07/2023 00:30:00 - 04/07/2023 00:45:00","BZN|DE-LU","Sequence Sequence 1","61.60","",""
"04/07/2023 00:45:00 - 04/07/2023 01:00:00","BZN|DE-LU","Sequence Sequence 1","61.89","",""
"04/07/2023 01:00:00 - 04/07/2023 01:15:00","BZN|DE-LU","Sequence Sequence 1","67.24","",""
"04/07/2023 01:15:00 - 04/07/2023 01:30:00","BZN|DE-LU","Sequence Sequence 1","67.51","",""
"04/07/2023 01:30:00 - 04/07/2023 01:45:00","BZN|DE-LU","Sequence Sequence 1","64.60","",""
"04/07/2023 01:45:00 - 04/07/2023 02:00:00","BZN|DE-LU","Sequence Sequence 1","68.98","",""
"04/07/2023 02:00:00 - 04/07/2023 02:15:00","BZN|DE-LU","Sequence Sequence 1","74.99","",""
"04/07/2023 02:15:00 - 04/07/2023 02:30:00","BZN|DE-LU","Sequence Sequence 1","75.36","",""
"04/07/2023 02:30:00 - 04/07/2023 02:45:00","BZN|DE-LU","Sequence Sequence 1","77.60","",""
"04/07/2023 02:45:00 - 04/07/2023 03:00:00","BZN|DE-LU","Sequence Sequence 1","73.01","",""
"04/07/2023 03:00:00 - 04/07/2023 03:15:00","BZN|DE-LU","Sequence Sequence 1","80.19","",""
"04/07/2023 03:15:00 - 04/07/2023 03:30:00","BZN|DE-LU","Sequence Sequence 1","81.09","",""
"04/07/2023 03:30:00 - 04/07/2023 03:45:00","BZN|DE-LU","Sequence Sequence 1","78.57","",""
"04/07/2023 03:45:00 - 04/07/2023 04:00:00","BZN|DE-LU","Sequence Sequence 1","80.06","",""
"04/07/2023 04:00:00 - 04/07/2023 04:15:00","BZN|DE-LU","Sequence Sequence 1","86.19","",""
"04/07/2023 04:15:00 - 04/07/2023 04:30:00","BZN|DE-LU","Sequence Sequence 1","84.56","",""
"04/07/2023 04:30:00 - 04/07/2023 04:45:00","BZN|DE-LU","Sequence Sequence 1","87.82","",""
"04/07/2023 04:45:00 - 04/07/2023 05:00:00","BZN|DE-LU","Sequence Sequence 1","82.18","",""
"04/07/2023 05:00:00 - 04/07/2023 05:15:00","BZN|DE-LU","Sequence Sequence 1","90.45","",""
"04/07/2023 05:15:00 - 04/07/2023 05:30:00","BZN|DE-LU","Sequence Sequence 1","89.53","",""
"04/07/2023 05:30:00 - 04/07/2023 05:45:00","BZN|DE-LU","Sequence Sequence 1","87.07","",""
"04/07/2023 05:45:00 - 04/07/2023 06:00:00","BZN|DE-LU","Sequence Sequence 1","86.35","",""
"04/07/2023 06:00:00 - 04/07/2023 06:15:00","BZN|DE-LU","Sequence Sequence 1","85.06","",""
"04/07/2023 06:15:00 - 04/07/2023 06:30:00","BZN|DE-LU","Sequence Sequence 1","87.64","",""
"04/07/2023 06:30:00 - 04/07/2023 06:45:00","BZN|DE-LU","Sequence Sequence 1","91.32","",""
"04/07/2023 06:45:00 - 04/07/2023 07:00:00","BZN|DE-LU","Sequence Sequence 1","89.11","",""
"04/07/2023 07:00:00 - 04/07/2023 07:15:00","BZN|DE-LU","Sequence Sequence 1","90.53","",""
"04/07/2023 07:15:00 - 04/07/2023 07:30:00","BZN|DE-LU","Sequence Sequence 1","86.96","",""
"04/07/2023 07:30:00 - 04/07/2023 07:45:00","BZN|DE-LU","Sequence Sequence 1","89.62","",""
"04/07/2023 07:45:00 - 04/07/2023 08:00:00","BZN|DE-LU","Sequence Sequence 1","86.77","",""
"04/07/2023 08:00:00 - 04/07/2023 08:15:00","BZN|DE-LU","Sequence Sequence 1","83.28","",""
"04/07/2023 08:15:00 - 04/07/2023 08:30:00","BZN|DE-LU","Sequence Sequence 1","84.99","",""
"04/07/2023 08:30:00 - 04/07/2023 08:45:00","BZN|DE-LU","Sequence Sequence 1","83.88","",""
"04/07/2023 08:45:00 - 04/07/2023 09:00:00","BZN|DE-LU","Sequence Sequence 1","82.12","",""
"04/07/2023 09:00:00 - 04/07/2023 09:15:00","BZN|DE-LU","Sequence Sequence 1","80.07","",""
"04/07/2023 09:15:00 - 04/07/2023 09:30:00","BZN|DE-LU","Sequence Sequence 1","80.65","",""
"04/07/2023 09:30:00 - 04/07/2023 09:45:00","BZN|DE-LU","Sequence Sequence 1","82.98","",""
"04/07/2023 09:45:00 - 04/07/2023 10:00:00","BZN|DE-LU","Sequence Sequence 1","82.31","",""
"04/07/2023 10:00:00 - 04/07/2023 10:15:00","BZN|DE-LU","Sequence Sequence 1","76.67","",""
"04/07/2023 10:15:00 - 04/07/2023 10:30:00","BZN|DE-LU","Sequence Sequence 1","75.67","",""
"04/07/2023 10:30:00 - 04/07/2023 10:45:00","BZN|DE-LU","Sequence Sequence 1","74.89","",""
"04/07/2023 10:45:00 - 04/07/2023 11:00:00","BZN|DE-LU","Sequence Sequence 1","71.77","",""
"04/07/2023 11:00:00 - 04/07/2023 11:15:00","BZN|DE-LU","Sequence Sequence 1","67.29","",""
"04/07/2023 11:15:00 - 04/07/2023 11:30:00","BZN|DE-LU","Sequence Sequence 1","68.18","",""
"04/07/2023 11:30:00 - 04/07/2023 11:45:00","BZN|DE-LU","Sequence Sequence 1","69.90","",""
"04/07/2023 11:45:00 - 04/07/2023 12:00:00","BZN|DE-LU","Sequence Sequence 1","68.36","",""
"04/07/2023 12:00:00 - 04/07/2023 12:15:00","BZN|DE-LU","Sequence Sequence 1","61.71","",""
"04/07/2023 12:15:00 - 04/07/2023 12:30:00","BZN|DE-LU","Sequence Sequence 1","57.16","",""
"04/07/2023 12:30:00 - 04/07/2023 12:45:00","BZN|DE-LU","Sequence Sequence 1","58.57","",""
"04/07/2023 12:45:00 - 04/07/2023 13:00:00","BZN|DE-LU","Sequence Sequence 1","60.08","",""
"04/07/2023 13:00:00 - 04/07/2023 13:15:00","BZN|DE-LU","Sequence Sequence 1","53.78","",""
"04/07/2023 13:15:00 - 04/07/2023 13:30:00","BZN|DE-LU","Sequence Sequence 1","51.17","",""
"04/07/2023 13:30:00 - 04/07/2023 13:45:00","BZN|DE-LU","Sequence Sequence 1","51.30","",""
"04/07/2023 13:45:00 - 04/07/2023 14:00:00","BZN|DE-LU","Sequence Sequence 1","52.84","",""
"04/07/2023 14:00:00 - 04/07/2023 14:15:00","BZN|DE-LU","Sequence Sequence 1","41.97","",""
"04/07/2023 14:15:00 - 04/07/2023 14:30:00","BZN|DE-LU","Sequence Sequence 1","47.44","",""
"04/07/2023 14:30:00 - 04/07/2023 14:45:00","BZN|DE-LU","Sequence Sequence 1","42.47","",""
"04/07/2023 14:45:00 - 04/07/2023 15:00:00","BZN|DE-LU","Sequence Sequence 1","40.39","",""
"04/07/2023 15:00:00 - 04/07/2023 15:15:00","BZN|DE-LU","Sequence Sequence 1","38.03","",""
"04/07/2023 15:15:00 - 04/07/2023 15:30:00","BZN|DE-LU","Sequence Sequence 1","41.41","",""
"04/07/2023 15:30:00 - 04/07/2023 15:45:00","BZN|DE-LU","Sequence Sequence 1","39.19","",""
"04/07/2023 15:45:00 - 04/07/2023 16:00:00","BZN|DE-LU","Sequence Sequence 1","39.51","",""
"04/07/2023 16:00:00 - 04/07/2023 16:15:00","BZN|DE-LU","Sequence Sequence 1","33.33","",""
"04/07/2023 16:15:00 - 04/07/2023 16:30:00","BZN|DE-LU","Sequence Sequence 1","32.94","",""
"04/07/2023 16:30:00 - 04/07/2023 16:45:00","BZN|DE-LU","Sequence Sequence 1","30.15","",""
"04/07/2023 16:45:00 - 04/07/2023 17:00:00","BZN|DE-LU","Sequence Sequence 1","28.73","",""
"04/07/2023 17:00:00 - 04/07/2023 17:15:00","BZN|DE-LU","Sequence Sequence 1","30.64","",""
"04/07/2023 17:15:00 - 04/07/2023 17:30:00","BZN|DE-LU","Sequence Sequence 1","32.87","",""
"04/07/2023 17:30:00 - 04/07/2023 17:45:00","BZN|DE-LU","Sequence Sequence 1","30.94","",""
"04/07/2023 17:45:00 - 04/07/2023 18:00:00","BZN|DE-LU","Sequence Sequence 1","31.49","",""
"04/07/2023 18:00:00 - 04/07/2023 18:15:00","BZN|DE-LU","Sequence Sequence 1","32.39","",""
"04/07/2023 18:15:00 - 04/07/2023 18:30:00","BZN|DE-LU","Sequence Sequence 1","29.88","",""
"04/07/2023 18:30:00 - 04/07/2023 18:45:00","BZN|DE-LU","Sequence Sequence 1","28.98","",""
"04/07/2023 18:45:00 - 04/07/2023 19:00:00","BZN|DE-LU","Sequence Sequence 1","27.59","",""
"04/07/2023 19:00:00 - 04/07/2023 19:15:00","BZN|DE-LU","Sequence Sequence 1","34.29","",""
"04/07/2023 19:15:00 - 04/07/2023 19:30:00","BZN|DE-LU","Sequence Sequence 1","31.30","",""
"04/07/2023 19:30:00 - 04/07/2023 19:45:00","BZN|DE-LU","Sequence Sequence 1","28.36","",""
"04/07/2023 19:45:00 - 04/07/2023 20:00:00","BZN|DE-LU","Sequence Sequence 1","27.91","",""
"04/07/2023 20:00:00 - 04/07/2023 20:15:00","BZN|DE-LU","Sequence Sequence 1","35.75","",""
"04/07/2023 20:15:00 - 04/07/2023 20:30:00","BZN|DE-LU","Sequence Sequence 1","31.17","",""
"04/07/2023 20:30:00 - 04/07/2023 20:45:00","BZN|DE-LU","Sequence Sequence 1","36.95","",""
"04/07/2023 20:45:00 - 04/07/2023 21:00:00","BZN|DE-LU","Sequence Sequence 1","27.73","",""
"04/07/2023 21:00:00 - 04/07/2023 21:15:00","BZN|DE-LU","Sequence Sequence 1","40.86","",""
"04/07/2023 21:15:00 - 04/07/2023 21:30:00","BZN|DE-LU","Sequence Sequence 1","38.99","",""
"04/07/2023 21:30:00 - 04/07/2023 21:45:00","BZN|DE-LU","Sequence Sequence 1","38.25","",""
"04/07/2023 21:45:00 - 04/07/2023 22:00:00","BZN|DE-LU","Sequence Sequence 1","37.66","",""
"04/07/2023 22:00:00 - 04/07/2023 22:15:00","BZN|DE-LU","Sequence Sequence 1","48.01","",""
"04/07/2023 22:15:00 - 04/07/2023 22:30:00","BZN|DE-LU","Sequence Sequence 1","45.64","",""
"04/07/2023 22:30:00 - 04/07/2023 22:45:00","BZN|DE-LU","Sequence Sequence 1","42.42","",""
"04/07/2023 22:45:00 - 04/07/2023 23:00:00","BZN|DE-LU","Sequence Sequence 1","40.79","",""
"04/07/2023 23:00:00 - 04/07/2023 23:15:00","BZN|DE-LU","Sequence Sequence 1","51.82","",""
"04/07/2023 23:15:00 - 04/07/2023 23:30:00","BZN|DE-LU","Sequence Sequence 1","51.46","",""
"04/07/2023 23:30:00 - 04/07/2023 23:45:00","BZN|DE-LU","Sequence Sequence 1","48.42","",""
"04/07/2023 23:45:00 - 05/07/2023 00:00:00","BZN|DE-LU","Sequence Sequence 1","51.35","",""
"05/07/2023 00:00:00 - 05/07/2023 00:15:00","BZN|DE-LU","Sequence Sequence 1","57.56","",""
"05/07/2023 00:15:00 - 05/07/2023 00:30:00","BZN|DE-LU","Sequence Sequence 1","58.73","",""
"05/07/2023 00:30:00 - 05/07/2023 00:45:00","BZN|DE-LU","Sequence Sequence 1","60.16","",""
